index,name,price,product_url
50,Men's Sm-705 Running Shoe,"₹1,119",https://www.amazon.com/Sparx-SM-705-Golden-Sports-SX0705G_WHGO_0009/dp/B09GFDSSYM/ref=sr_1_50?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-50
51,Men SM-661 Sports Shoes,"₹1,181",https://www.amazon.com/Sparx-Black-Golden-Running-SM-661/dp/B099ZXDLXZ/ref=sr_1_51?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-51
52,"Men's Innova-15 Sports Running,Walking & Gym Shoes with Max Cushion Technology Casual Sneaker Shoes for Men's & Boy's","₹1,096",https://www.amazon.com/ASIAN-Innova-15-Running-Walking-Technology/dp/B0BC3LZX9V/ref=sr_1_52?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-52
53,Men's Seize The Street M Running Shoes,"₹2,276",https://www.amazon.com/Adidas-Impact-Orange-Wonder-Running/dp/B09N3MXJGL/ref=sr_1_53?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-53
54,Mens Glowrun Reflective M Running Shoes,"₹1,999",https://www.amazon.com/Adidas-Glowrun-Reflective-Running-Shoes/dp/B09N3PKVTG/ref=sr_1_54?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-54
55,Flying Knitt Premium Sports Shoes for Men,₹399,https://www.amazon.com/Birde-Men-Mesh-Blue-Shoes-AU_BRD-623_7/dp/B09Y9B2W9B/ref=sr_1_55?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-55
56,Men's Rte328b Leather Chelsea Boot,"₹1,894",https://www.amazon.com/Red-Tape-Leather-Chelsea-BLACK/dp/B0B1MB5V6Y/ref=sr_1_56?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-56
57,"Sports Shoes for Men | Latest Stylish Sports Shoes for Men | Lace-Up Lightweight (Grey) Shoes for Running, Walking, Gym,Trekking and Hiking Shoes for Men","₹1,299",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfYnRmOjIwMDc4Mzk5NTMwOTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FBersache-Stylish-Lace-Up-Lightweight-Trekking%2Fdp%2FB0B4SGH5MH%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-57-spons%26psc%3D1
58,Mens Furo Running Shoes,₹999,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfYnRmOjIwMDc3ODAzNjc5Njk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FFuro-Red-Chief-R1013-Running%2Fdp%2FB0791C4X1L%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-58-spons%26psc%3D1
59,Men's Mesh Lace-Ups Walking/Outdoor Sneakers Casual Shoes/Sport Shoes for Men/Running Shoes,₹549,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfYnRmOjIwMDU0MjUxOTQ3Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FBLACKTOWN-Lace-Ups-Walking-Outdoor-Sneakers%2Fdp%2FB0B3MQK2DK%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-59-spons%26psc%3D1
60,Mens R1014 C1336 Running Shoes,₹999,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfYnRmOjIwMDc3ODAzNjc5ODk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FFURO-Lightweight-Running-Walking-Cricket%2Fdp%2FB07TY194GK%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-60-spons%26psc%3D1
